======================================================================
  SPICERACK — SPICE AUDIT REPORT
======================================================================

  Total recipes scanned  : 2,231,142
  Existing spices tracked: 173
  Candidate new spices   : 1516720

──────────────────────────────────────────────────────────────────────
  SECTION 1: YOUR EXISTING SPICES — ranked by recipe appearances
──────────────────────────────────────────────────────────────────────
  SPICE                                  RECIPES  % OF DATASET
  ----------------------------------- ----------  ------------
  salt                                 1,088,007        48.76%
  black pepper                           980,953        43.97%
  garlic                                 579,327        25.97%
  vanilla                                352,789        15.81%
  cloves                                 275,470        12.35%
  cinnamon                               252,059        11.30%
  parsley                                185,133         8.30%
  ginger                                 127,620         5.72%
  mustard                                127,426         5.71%
  basil                                  111,086         4.98%
  oregano                                110,646         4.96%
  cumin                                  109,954         4.93%
  nutmeg                                 105,392         4.72%
  thyme                                  101,806         4.56%
  cayenne                                 99,279         4.45%
  kosher salt                             77,270         3.46%
  paprika                                 76,833         3.44%
  crushed red pepper                      52,392         2.35%
  chili powder                            52,195         2.34%
  dill                                    49,817         2.23%
  bay leaf                                48,633         2.18%
  curry powder                            48,563         2.18%
  coriander                               41,550         1.86%
  rosemary                                41,362         1.85%
  sea salt                                37,919         1.70%
  allspice                                36,082         1.62%
  mustard powder                          33,984         1.52%
  onion powder                            29,671         1.33%
  sage                                    25,001         1.12%
  turmeric                                23,348         1.05%
  seven spice                             21,471         0.96%
  white pepper                            20,615         0.92%
  cardamom                                19,079         0.86%
  tarragon                                17,663         0.79%
  fennel                                  15,367         0.69%
  italian seasoning                       15,207         0.68%
  cream of tartar                         14,723         0.66%
  celery seed                             13,290         0.60%
  taco seasoning                          13,102         0.59%
  marjoram                                12,298         0.55%
  sesame seed                             12,170         0.55%
  chipotle powder                         12,076         0.54%
  dried parsley                           10,005         0.45%
  garam masala                            10,001         0.45%
  caraway                                  9,447         0.42%
  dried lemon peel                         9,045         0.41%
  saffron                                  8,716         0.39%
  celery salt                              8,243         0.37%
  dried orange peel                        7,193         0.32%
  pumpkin pie spice                        7,012         0.31%
  shiitake powder                          6,851         0.31%
  anise                                    6,177         0.28%
  poultry seasoning                        5,898         0.26%
  chinese five spice                       5,885         0.26%
  poppy seed                               5,146         0.23%
  mustard seed                             4,909         0.22%
  ancho chili powder                       4,564         0.20%
  onion flakes                             4,552         0.20%
  dried dill                               4,302         0.19%
  old bay                                  3,857         0.17%
  cajun seasoning                          3,768         0.17%
  lemongrass powder                        3,621         0.16%
  star anise                               3,612         0.16%
  sweet paprika                            3,510         0.16%
  savory                                   3,376         0.15%
  dried onion                              3,343         0.15%
  mace                                     3,265         0.15%
  fennel seed                              2,985         0.13%
  roasted garlic powder                    2,720         0.12%
  creole seasoning                         2,698         0.12%
  flax seed                                2,304         0.10%
  porcini powder                           2,263         0.10%
  chervil                                  2,008         0.09%
  fenugreek                                1,896         0.08%
  herbes de provence                       1,773         0.08%
  nutritional yeast                        1,703         0.08%
  coriander seed                           1,677         0.08%
  lavender                                 1,529         0.07%
  dill seed                                1,461         0.07%
  anise seed                               1,426         0.06%
  chive                                    1,387         0.06%
  mexican oregano                          1,290         0.06%
  pickling spice                           1,280         0.06%
  aleppo pepper                            1,187         0.05%
  sumac                                    1,165         0.05%
  hot paprika                              1,109         0.05%
  mixed spice                              1,084         0.05%
  fleur de sel                             1,000         0.04%
  apple pie spice                            990         0.04%
  bouquet garni                              940         0.04%
  asafoetida                                 864         0.04%
  msg                                        808         0.04%
  guajillo powder                            808         0.04%
  ras el hanout                              740         0.03%
  galangal                                   739         0.03%
  dried cilantro                             713         0.03%
  himalayan pink salt                        670         0.03%
  lemon thyme                                628         0.03%
  achiote                                    618         0.03%
  madras curry powder                        507         0.02%
  dried rose petals                          506         0.02%
  dried lavender                             506         0.02%
  amchur                                     499         0.02%
  jerk seasoning                             494         0.02%
  annatto                                    488         0.02%
  gochugaru                                  414         0.02%
  citric acid                                413         0.02%
  summer savory                              386         0.02%
  black cardamom                             361         0.02%
  kaffir lime leaf                           346         0.02%
  za'atar                                    326         0.01%
  vanilla powder                             308         0.01%
  sichuan pepper                             307         0.01%
  hing                                       287         0.01%
  smoked salt                                277         0.01%
  greek oregano                              261         0.01%
  garlic flakes                              220         0.01%
  black sesame seed                          204         0.01%
  black salt                                 182         0.01%
  furikake                                   165         0.01%
  dried hibiscus                             156         0.01%
  berbere                                    154         0.01%
  smoked sea salt                            149         0.01%
  green peppercorn                           147         0.01%
  chaat masala                               137         0.01%
  fennel pollen                              135         0.01%
  dried chervil                              124         0.01%
  black cumin                                118         0.01%
  baharat                                    107         0.00%
  dukkah                                     106         0.00%
  truffle salt                               102         0.00%
  tajin                                       99         0.00%
  piment d'espelette                          95         0.00%
  shichimi togarashi                          94         0.00%
  nigella seed                                93         0.00%
  loomi                                       89         0.00%
  grains of paradise                          82         0.00%
  yellow mustard seed                         78         0.00%
  hickory smoked salt                         76         0.00%
  ceylon cinnamon                             67         0.00%
  dried chamomile                             65         0.00%
  black mustard seed                          63         0.00%
  dried mushroom powder                       49         0.00%
  hemp seed                                   46         0.00%
  winter savory                               45         0.00%
  pink peppercorn                             35         0.00%
  dried tomato powder                         33         0.00%
  fenugreek seed                              32         0.00%
  habanero powder                             31         0.00%
  panch phoron                                28         0.00%
  brown mustard seed                          27         0.00%
  long pepper                                 27         0.00%
  dried bell pepper                           21         0.00%
  cassia cinnamon                             17         0.00%
  dried lime powder                           16         0.00%
  urfa biber                                  14         0.00%
  shallot powder                              13         0.00%
  tamarind powder                             12         0.00%
  pomegranate powder                          12         0.00%
  harissa powder                              10         0.00%
  black lime                                   7         0.00%
  barberry                                     6         0.00%
  applewood smoked salt                        5         0.00%
  bonito powder                                5         0.00%
  miso powder                                  4         0.00%
  dried lime peel                              3         0.00%
  ghost pepper powder                          3         0.00%
  dried chive                                  2         0.00%
  pasilla powder                               2         0.00%
  liquid smoke powder                          1         0.00%
  dried pomegranate seed                       1         0.00%
  kombu powder                                 1         0.00%
  mulato chili powder                          1         0.00%

  ⚠️  ZERO HITS (6 spices not found in dataset):
     • kokum powder
     • leek powder
     • makrut lime powder
     • marigold petal
     • rose water powder
     • smoked turmeric

──────────────────────────────────────────────────────────────────────
  SECTION 2: TOP 200 CANDIDATES NOT IN YOUR LIST
  (Paste this section to Claude to update spice_data.py)
──────────────────────────────────────────────────────────────────────
  CANDIDATE TOKEN                             RECIPES  % OF DATASET
  ---------------------------------------- ----------  ------------
  ground black                                118,806         5.32%
  ground black pepper                         118,401         5.31%
  chili                                       109,007         4.89%
  unsalted                                    106,467         4.77%
  freshly ground                               96,290         4.32%
  unsalted butter                              93,706         4.20%
  peppers                                      85,744         3.84%
  seasoning                                    79,335         3.56%
  red pepper                                   79,017         3.54%
  powdered                                     75,890         3.40%
  bell pepper                                  73,903         3.31%
  flakes                                       70,392         3.15%
  powdered sugar                               63,282         2.84%
  green pepper                                 63,079         2.83%
  freshly ground black                         62,670         2.81%
  tsp cinnamon                                 58,394         2.62%
  ground cinnamon                              55,863         2.50%
  bay                                          54,829         2.46%
  sausage                                      54,788         2.46%
  sesame                                       52,390         2.35%
  fresh parsley                                49,816         2.23%
  cayenne pepper                               42,541         1.91%
  jalapeno                                     38,036         1.70%
  dijon mustard                                38,022         1.70%
  ground cumin                                 37,426         1.68%
  cinnamon tsp                                 35,788         1.60%
  cinnamon teaspoon                            35,359         1.58%
  salt and freshly                             35,108         1.57%
  fresh basil                                  34,789         1.56%
  tablespoons unsalted                         33,681         1.51%
  and freshly ground                           33,629         1.51%
  pepper flakes                                33,260         1.49%
  tablespoons unsalted butter                  33,240         1.49%
  teaspoon black pepper                        32,069         1.44%
  teaspoon cinnamon                            31,114         1.39%
  red pepper flakes                            30,400         1.36%
  dried oregano                                30,330         1.36%
  teaspoon ground cinnamon                     30,327         1.36%
  curry                                        29,769         1.33%
  chilies                                      28,517         1.28%
  tsp cinnamon tsp                             28,438         1.27%
  black pepper to                              28,280         1.27%
  fresh ginger                                 27,292         1.22%
  red bell pepper                              27,233         1.22%
  dry mustard                                  27,105         1.21%
  teaspoon kosher salt                         26,953         1.21%
  fresh thyme                                  26,589         1.19%
  sesame oil                                   26,412         1.18%
  freshly ground pepper                        25,007         1.12%
  ground ginger                                23,987         1.08%
  cocoa powder                                 23,211         1.04%
  spice                                        23,184         1.04%
  ground nutmeg                                22,946         1.03%
  bay leaves                                   22,926         1.03%
  tsp nutmeg                                   22,897         1.03%
  chopped parsley                              22,893         1.03%
  teaspoon cayenne                             22,804         1.02%
  dried thyme                                  22,730         1.02%
  bell peppers                                 22,567         1.01%
  basil leaves                                 22,304         1.00%
  chopped fresh parsley                        21,826         0.98%
  chile                                        21,406         0.96%
  teaspoon freshly ground                      20,614         0.92%
  cumin teaspoon                               20,558         0.92%
  lean ground                                  20,420         0.92%
  black pepper teaspoon                        19,913         0.89%
  flat leaf                                    19,856         0.89%
  flaked                                       19,711         0.88%
  green bell pepper                            19,612         0.88%
  green chilies                                19,568         0.88%
  leaf parsley                                 19,141         0.86%
  teaspoon ground cumin                        19,042         0.85%
  flat leaf parsley                            18,855         0.85%
  dried basil                                  18,845         0.84%
  ground cinnamon teaspoon                     18,743         0.84%
  sesame seeds                                 18,620         0.83%
  chopped green pepper                         18,459         0.83%
  stalks celery                                18,250         0.82%
  fresh ground black                           18,231         0.82%
  parsley chopped                              17,882         0.80%
  teaspoon cayenne pepper                      17,448         0.78%
  salt freshly                                 17,382         0.78%
  cup unsalted                                 17,338         0.78%
  black pepper cup                             17,203         0.77%
  lean ground beef                             16,833         0.75%
  chiles                                       16,765         0.75%
  mustard teaspoon                             16,743         0.75%
  salt freshly ground                          16,615         0.74%
  c powdered                                   16,330         0.73%
  cinnamon c                                   16,157         0.72%
  raspberry                                    16,154         0.72%
  raspberries                                  16,100         0.72%
  green pepper chopped                         16,009         0.72%
  teaspoon dried oregano                       15,991         0.72%
  salted                                       15,941         0.71%
  oregano teaspoon                             15,884         0.71%
  teaspoon paprika                             15,477         0.69%
  salt teaspoon black                          15,475         0.69%
  bell pepper chopped                          15,362         0.69%
  c powdered sugar                             15,296         0.69%
  cup unsalted butter                          15,259         0.68%
  fresh rosemary                               15,234         0.68%
  vanilla pudding                              15,216         0.68%
  ginger teaspoon                              15,075         0.68%
  green peppers                                14,990         0.67%
  peppercorns                                  14,744         0.66%
  blend                                        14,659         0.66%
  teaspoon cumin                               14,617         0.66%
  mustard tsp                                  14,448         0.65%
  kosher salt teaspoon                         14,361         0.64%
  ground cumin teaspoon                        14,311         0.64%
  tsp black pepper                             14,308         0.64%
  teaspoon ground black                        14,095         0.63%
  teaspoon chili                               13,998         0.63%
  seedless                                     13,917         0.62%
  hot pepper                                   13,832         0.62%
  teaspoon dried thyme                         13,477         0.60%
  tsp oregano                                  13,465         0.60%
  tsp dry mustard                              13,440         0.60%
  paprika teaspoon                             13,433         0.60%
  kosher salt and                              13,371         0.60%
  teaspoon nutmeg                              13,255         0.59%
  celery soup                                  13,233         0.59%
  pure vanilla                                 13,176         0.59%
  teaspoon ground ginger                       13,051         0.58%
  teaspoon ground nutmeg                       12,946         0.58%
  parsley leaves                               12,886         0.58%
  nutmeg tsp                                   12,834         0.58%
  vanilla ice                                  12,777         0.57%
  pure vanilla extract                         12,734         0.57%
  chili sauce                                  12,692         0.57%
  prepared mustard                             12,543         0.56%
  nutmeg teaspoon                              12,517         0.56%
  vanilla ice cream                            12,494         0.56%
  teaspoon cinnamon teaspoon                   12,472         0.56%
  tsp cinnamon c                               12,439         0.56%
  mint leaves                                  12,371         0.55%
  chipotle                                     12,283         0.55%
  cup powdered                                 12,243         0.55%
  thyme teaspoon                               12,160         0.55%
  cinnamon teaspoon ground                     12,046         0.54%
  tsp paprika                                  12,032         0.54%
  pepper cut                                   11,809         0.53%
  maraschino                                   11,806         0.53%
  chili powder teaspoon                        11,777         0.53%
  thyme leaves                                 11,750         0.53%
  salt teaspoon freshly                        11,680         0.52%
  parsley flakes                               11,659         0.52%
  flaked coconut                               11,522         0.52%
  of celery soup                               11,502         0.52%
  fresh dill                                   11,476         0.51%
  dill weed                                    11,302         0.51%
  cup powdered sugar                           11,277         0.51%
  teaspoon chili powder                        11,241         0.50%
  tsp chili                                    11,202         0.50%
  cilantro leaves                              11,169         0.50%
  jalapeno pepper                              11,162         0.50%
  herb                                         11,156         0.50%
  ground coriander                             11,078         0.50%
  cinnamon cup                                 11,074         0.50%
  red peppers                                  11,069         0.50%
  black pepper tablespoons                     11,053         0.50%
  olive oil salt                               11,047         0.50%
  unsalted butter melted                       10,932         0.49%
  coarse salt                                  10,629         0.48%
  unsalted butter softened                     10,621         0.48%
  ground turkey                                10,500         0.47%
  tsp nutmeg tsp                               10,346         0.46%
  seasoned salt                                10,317         0.46%
  tsp chili powder                             10,281         0.46%
  basil teaspoon                               10,249         0.46%
  tsp ground cinnamon                          10,133         0.45%
  fresh basil leaves                            9,993         0.45%
  italian sausage                               9,979         0.45%
  instant vanilla                               9,965         0.45%
  hot pepper sauce                              9,935         0.45%
  jalapeno peppers                              9,932         0.45%
  lb lean ground                                9,926         0.44%
  teaspoons cinnamon                            9,773         0.44%
